Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/air05_decomp_auto1_log.txt:FS: 0.011 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 1.223 2 243 0.061 2 52 0.952 209 1.294 0.024 0.821 0.029 0.705 14 14 146.500 660 3 0.732 0 11 144 25877.609 2.424 25.440
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/airland4_R3_decomp_auto1_log.txt:FS: 0.031 0.025 0.496 1.000 0.050 0.150 0.000 2 2 2581.000 2823 2339 1 0 0.084 5 69 0.088 5 97 0.061 49 0.180 0.080 0.384 0.209 0.313 3 3 1162.667 2672 315 0.103 2 54 44 0.000 1.3E14 0.680
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/airland8_R2_decomp_auto1_log.txt:FS: 0.140 0.213 0.499 1.000 0.427 0.043 0.000 2 2 14123.500 14830 13417 1 0 0.139 5 45 5.426 5 212 0.102 29 5.573 0.053 0.500 0.107 0.448 2 2 7610.500 7649 7572 3.990 1 142 19 135.000 0.000 3103.882
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/aligninq_decomp_auto1_log.txt:FS: 0.042 0.133 0.436 0.319 0.957 0.002 0.228 2 3 406.333 853 36 1 0 0.067 5 62 0.035 5 65 0.046 50 0.110 0.185 0.632 0.292 0.246 3 3 508.000 711 312 0.108 4 62 62 2658.124 2.064 28.848
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/amgen_divided_decomp_auto1_log.txt:FS: 2.532 0.225 0.524 0.973 0.441 0.041 0.006 2 12 29229.500 171578 585 1 0 13.709 2 474 3.022 2 151 8.813 39 16.798 0.392 0.615 0.637 0.090 15 15 20051.800 150902 585 16.418 1 124 474 18481202.186 87.732 3548.046
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/app1_2_decomp_auto1_log.txt:FS: 0.062 0.881 0.936 1.000 0.941 0.003 0.000 16 16 9082.188 9600 3600 1 0 0.423 3 4 1.242 2 190 0.398 4 1.684 0.262 0.671 0.390 0.189 165 165 674.576 63691 42 1.046 1 103 4 -44.196 7.230 1516.377
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/arki001_decomp_auto1_log.txt:FS: 0.031 0.755 0.947 0.798 1.000 0.000 0.045 4 19 592.684 741 465 0 0 0.007 2 1 0.001 1 3 0.006 2 0.016 0.755 0.947 0.798 0.045 19 19 592.684 741 465 0.007 0 0 0 7580600.079 0.030 16.662
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/assign1000_decomp_auto1_log.txt:FS: 0.379 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 68.958 2 380 2.317 1 32 49.481 136 71.389 0.082 0.999 0.082 0.500 1000 1000 1000.000 1000 1000 70.755 0 30 380 1.690 0.000 17.731
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/atlanta_ip_decomp_auto1_log.txt:FS: 0.860 0.510 0.675 0.999 0.757 0.014 0.000 4 4 41895.750 81685 26302 1 0 2.902 5 171 1.664 5 230 2.103 32 4.589 0.238 0.691 0.345 0.213 7 7 19449.429 57823 2 1.671 1 64 66 59.401 152.544 3560.934
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/atm20_100_decomp_auto1_log.txt:FS: 0.131 0.838 0.950 0.882 1.000 0.000 0.025 2 20 1560.650 1793 1401 0 0 0.033 2 1 0.001 1 1 0.032 2 0.041 0.838 0.950 0.882 0.025 20 20 1560.650 1793 1401 0.005 0 0 0 2463113.334 0.021 103.999
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/atm_icic_decomp_auto1_log.txt:FS: 0.783 0.822 0.948 0.867 1.000 0.000 0.028 4 20 10441.500 12726 3418 0 0 1.092 5 47 0.095 4 16 0.889 8 1.208 0.822 0.948 0.867 0.028 20 20 10441.500 12726 3418 0.011 0 0 0 2343761365.8 0.000 176.470
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/atm_miplib2010_decomp_auto1_log.txt:FS: 0.132 0.838 0.950 0.882 1.000 0.000 0.025 2 20 1559.950 1793 1401 0 0 0.034 2 1 0.001 1 1 0.032 2 0.041 0.838 0.950 0.882 0.025 20 20 1559.950 1793 1401 0.005 0 0 0 2463113.334 0.021 93.898
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/att532MTZ_decomp_auto1_log.txt:FS: 0.819 0.726 0.857 0.988 0.858 0.008 0.003 7 538 2094.390 161184 2 1 0 3.376 5 9 1134.236 5 12 2.923 8 1320.283 0.075 0.801 0.094 0.473 100009 100009 5.298 192212 2 1320.246 5 11 9 26625.000 62.336 779.914
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/B2C1S1_decomp_auto1_log.txt:FS: 0.061 0.429 0.601 0.820 0.872 0.007 0.040 3 7 1146.286 4382 4 1 0 0.381 5 103 0.193 5 234 0.329 52 0.578 0.430 0.502 0.857 0.031 3 3 2893.333 4370 16 0.119 0 48 24 18358.120 87.744 3598.208
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bab3_decomp_auto1_log.txt:FS: 0.759 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 20.429 5 77 15.614 5 248 16.556 12 36.235 0.737 0.965 0.764 0.054 44 44 45087.727 181254 6744 34.585 4 222 77 -5473967.776 1.340781E156 3499.156
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bab5_decomp_auto1_log.txt:FS: 0.429 0.548 0.940 0.675 0.863 0.007 0.078 15 50 942.920 5046 4 1 0 0.427 5 24 0.623 5 254 0.373 15 1.068 0.611 0.953 0.641 0.089 35 35 1248.314 4001 32 0.151 0 32 4 -107272.023 0.962 793.667
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bank_bad_decomp_auto1_log.txt:FS: 0.324 0.981 0.996 0.984 1.000 0.000 0.003 2 320 2111.300 3776 482 0 0 6.137 3 29 0.280 2 8 5.288 14 6.498 0.981 0.996 0.984 0.003 320 320 2111.300 3776 482 0.041 0 0 0 9.000 0.000 31.684
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bank_good_decomp_auto1_log.txt:FS: 0.324 0.981 0.996 0.984 1.000 0.000 0.003 3 320 2111.300 3776 482 0 0 6.080 3 29 0.278 2 8 5.233 14 6.439 0.981 0.996 0.984 0.003 320 320 2111.300 3776 482 0.042 0 0 0 31.000 0.000 36.320
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/batho_improved_decomp_auto1_log.txt:FS: 1.259 0.648 0.819 0.792 0.999 0.000 0.047 4 7 29588.429 55669 3569 1 0 8.306 5 283 1.702 5 201 6.455 63 10.038 0.667 0.830 0.804 0.044 21 21 9931.381 53045 11 1.607 0 39 63 1478.250 1.340781E156 382.564
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/batho_orig_decomp_auto1_log.txt:FS: 1.273 0.552 0.784 0.708 0.995 0.000 0.069 4 11 19141.364 61747 6 1 0 9.958 5 302 2.116 5 221 7.819 72 12.106 0.552 0.784 0.705 0.070 11 11 19138.273 61713 6 0.016 0 0 0 1478.250 1.340781E156 929.741
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bc1_decomp_auto1_log.txt:FS: 0.376 0.001 0.384 1.000 0.003 0.294 0.000 2 2 112716.500 167111 58322 1 0 3.166 3 375 0.254 3 102 2.363 278 3.537 0.057 0.988 0.058 0.571 85 85 15.247 36 15 2.126 0 1 232 2.189 54.447 72.564
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bc_decomp_auto1_log.txt:FS: 0.398 0.003 0.370 0.997 0.008 0.245 0.001 2 2 113276.000 171091 55461 1 0 4.592 3 325 0.527 2 173 3.856 226 5.309 0.128 0.994 0.129 0.410 162 162 15.130 36 15 5.301 1 173 322 4.289 63.206 94.897
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bdry0_79_decomp_auto1_log.txt:FS: 0.145 0.415 0.751 0.937 0.590 0.026 0.013 4 25 1480.760 9275 4 1 0 1.210 5 101 0.520 5 287 1.074 40 1.743 0.655 0.872 0.752 0.057 8 8 4365.125 5418 2989 0.702 1 112 39 21.751 1.340781E156 686.801
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bdry1_79_decomp_auto1_log.txt:FS: 0.145 0.415 0.751 0.937 0.590 0.026 0.013 4 25 1480.760 9275 4 1 0 1.207 5 101 0.516 5 287 1.072 40 1.733 0.655 0.872 0.752 0.057 8 8 4365.125 5418 2989 0.696 1 112 39 24.628 1.340781E156 698.357
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/beasleyc3_decomp_auto1_log.txt:FS: 0.026 0.746 0.947 0.788 1.000 0.000 0.048 12 77 38.260 312 2 0 0 0.076 5 65 0.039 5 127 0.059 32 0.121 0.775 0.954 0.812 0.042 51 51 58.392 232 2 0.045 1 36 22 535.337 61.580 6.840
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bell3a_decomp_auto1_log.txt:FS: 0.005 0.221 0.510 0.855 0.506 0.034 0.031 2 3 64.333 98 2 1 0 0.006 5 15 0.004 5 30 0.004 16 0.014 0.328 0.524 0.626 0.094 5 5 35.600 114 2 0.005 0 7 3 873792.059 0.531 0.844
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bell5_decomp_auto1_log.txt:FS: 0.004 0.551 0.675 0.815 1.000 0.000 0.041 2 4 37.500 50 2 0 0 0.003 2 7 0.003 2 17 0.002 7 0.009 0.566 0.694 0.815 0.041 5 5 29.400 58 2 0.008 1 15 7 8963912.104 0.028 0.496
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/berlin52MTZ_decomp_auto1_log.txt:FS: 0.077 0.322 0.490 0.898 0.733 0.016 0.022 2 44 255.000 6624 2 1 0 0.188 4 37 1.618 4 1075 0.166 27 1.811 0.069 0.256 0.269 0.262 522 522 14.517 6536 2 0.578 1 279 19 7163.000 13.332 350.787
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/berlin_5_8_0_decomp_auto1_log.txt:FS: 0.030 0.391 0.500 1.000 0.783 0.012 0.000 2 2 2048.000 2094 2002 1 0 0.074 5 46 0.056 5 99 0.058 33 0.134 0.201 0.487 0.412 0.177 2 2 1735.000 2012 1458 0.004 0 0 0 56.100 14.082 363.384
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bg512142_decomp_auto1_log.txt:FS: 0.024 0.361 0.499 0.967 0.747 0.015 0.007 2 2 1699.000 1764 1634 1 0 0.114 5 79 0.040 5 129 0.092 40 0.164 0.544 0.668 0.814 0.041 4 4 810.000 1178 29 0.040 0 31 13 168962.591 26.169 3599.509
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bglng_decomp_auto1_log.txt:FS: 0.090 0.901 0.990 0.910 1.000 0.000 0.019 6 100 365.000 365 365 0 0 0.035 2 1 0.001 1 1 0.034 2 0.042 0.901 0.990 0.910 0.019 100 100 365.000 365 365 0.005 0 0 0 -95.427 0.032 5.026
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bglngship1_decomp_auto1_log.txt:FS: 0.280 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 9.122 5 104 0.802 5 42 7.460 32 9.980 0.599 0.938 0.639 0.090 22 22 17528.227 66433 14318 8.533 0 22 99 5864892158.7 4.730 3576.286
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bglngship2_decomp_auto1_log.txt:FS: 0.220 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 15.791 4 196 2.384 4 161 13.265 71 18.220 0.801 0.963 0.831 0.037 29 29 10661.448 12311 3003 7.765 0 37 105 4906453187.0 3.230 111.134
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bglngship3_decomp_auto1_log.txt:FS: 0.302 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 9.811 3 103 0.946 2 47 8.055 31 10.804 0.609 0.945 0.644 0.088 24 24 17484.792 64359 14642 10.330 1 35 103 5879242180.4 5.808 3574.288
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/biella1_decomp_auto1_log.txt:FS: 0.268 0.236 0.498 0.500 0.947 0.003 0.139 2 2 10677.500 11387 9968 1 0 1.280 5 249 0.273 5 168 0.971 115 1.565 0.211 0.493 0.428 0.170 2 2 10151.000 11359 8943 0.011 0 0 0 2581409.878 24.572 3594.637
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bienst1_decomp_auto1_log.txt:FS: 0.015 0.331 0.744 0.556 0.800 0.011 0.117 4 4 339.000 425 286 1 0 0.014 3 17 0.008 2 38 0.011 15 0.030 0.298 0.944 0.315 0.231 49 49 17.306 176 14 0.024 1 20 15 29.422 69.944 7.455
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bienst2_decomp_auto1_log.txt:FS: 0.019 0.331 0.744 0.556 0.800 0.011 0.117 4 4 339.000 425 286 1 0 0.014 3 17 0.008 2 38 0.011 15 0.030 0.298 0.944 0.315 0.231 49 49 17.306 176 14 0.023 1 20 15 31.091 84.942 8.079
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_auto4_bench/bier127MTZ_decomp_auto1_log.txt:FS: 0.365 0.493 0.736 0.957 0.700 0.018 0.009 4 4 17136.000 24024 14280 1 0 2.952 5 123 98.924 5 3287 2.591 61 101.995 0.123 0.658 0.187 0.336 3889 3889 10.369 19880 2 6.577 1 52 37 112276.000 30.860 3393.309
