Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/air03_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.533 5 135 0.048 4 46 0.397 139 0.587 0.038 0.420 0.091 0.480 4 4 1213.250 3403 5 0.295 0 8 63 338901.400 0.371 29.205
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/air04_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 5.161 5 907 0.296 5 208 4.056 498 5.463 0.026 0.915 0.029 0.710 19 19 140.632 361 5 1.227 0 12 199 55535.436 1.085 32.218
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/air05_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 1.230 2 243 0.061 2 52 0.958 209 1.306 0.024 0.821 0.029 0.705 14 14 146.500 660 3 0.742 0 11 144 25877.609 2.424 25.437
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/airland4_R3_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.083 5 68 0.100 5 112 0.060 48 0.193 0.079 0.374 0.210 0.312 3 3 1170.000 2712 267 0.107 2 56 36 0.000 1.3E14 0.565
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/airland8_R2_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.035 2 8 2.951 1 134 0.027 3 2.995 0.033 0.378 0.088 0.486 4 4 3610.500 10791 2 2.914 0 98 5 0.000 1.35E14 60.328
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/aligninq_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.286 5 129 0.050 5 92 0.227 114 0.348 0.182 0.644 0.283 0.252 4 4 380.250 702 36 0.320 3 74 115 2659.108 2.027 15.341
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/amgen_divided_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 10.109 1 324 1.206 1 70 6.763 27 11.343 0.410 0.674 0.608 0.100 17 17 16910.529 125104 4 10.755 0 29 324 26085932.295 91.268 3564.070
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/app1_2_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.299 2 3 0.599 1 91 0.276 3 0.914 0.262 0.671 0.390 0.189 165 165 674.576 63691 42 0.268 0 4 3 -169.000 1.340781E156 3556.089
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/arki001_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.020 2 8 0.000 1 0 0.017 5 0.028 0.755 0.947 0.798 0.045 19 19 592.684 741 465 0.023 0 0 6 7580656.395 0.109 15.591
optmilp_20180405_decomp_community1_v940m5b_community_stats1_auto4_bench/assign1000_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 68.845 2 380 2.284 1 32 49.337 136 71.243 0.082 0.999 0.082 0.500 1000 1000 1000.000 1000 1000 70.612 0 30 380 1.690 0.000 17.711
