Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
airland8_R2,0.021,0.033,0.747,0.997,0.045,0.156,0.001,4,4,7157.5,7928,6389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.375,3056.364,3598.22,LIMIT,TIME_LIM_SOL,"1,085.0000",34.3750,3056.3640%,1,0.65,3599.96
aligninq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,OPTIMAL,"2,713.0000","2,713.0000",0.0000%,137,0.47,11.32
amgen_divided,0.29,0.019,0.761,0.976,0.025,0.184,0.005,4,26,13902.231,96507,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16876919.729,25.995,3228.984,LIMIT,TIME_LIM_SOL,"12,489,693.8030","16,876,919.7290",25.9954%,1,12.32,3598.98
app1_2,0.021,0.735,0.75,0.999,0.98,0.001,0,4,4,37125.5,37969,36129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46,1.340781E156,3501.6,LIMIT,TIME_LIM_NOSOL,,-46.0000,,1,6.41,3599.92
arki001,0.005,0.719,0.899,0.799,1,0,0.045,4,15,855.133,3136,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7580298.437,0.333,99.499,LIMIT,TIME_LIM_SOL,"7,582,013.3315","7,580,556.4394",0.0192%,254,0.16,3599.97
ash608gpia_3col,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLVED,INFEASIBLE,,0.0000,,0,0.02,0.02
atlanta_ip,0.085,0.502,0.672,0.998,0.748,0.014,0,4,4,42265,83002,27097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.192,35.062,3495.374,LIMIT,TIME_LIM_SOL,111.0101,82.1917,35.0624%,1,22.38,3599.75
atm20_100,0.02,0.857,0.95,0.902,1,0,0.021,4,20,2063.85,2341,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463113.334,0.021,153.045,SOLVED,OPTIMAL_RGAP,"2,463,621.5773","2,463,548.8801",0.0030%,5,4.10,393.78
atm_icic,0.1,0.838,0.947,0.884,1,0,0.025,4,20,11998.55,15504,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343761365.8,0,205.51,SOLVED,OPTIMAL,"2,343,761,365.7000","2,343,761,365.7000",0.0000%,1,2.97,371.24
atm_miplib2010,0.021,0.856,0.949,0.902,1,0,0.021,4,20,2073.5,2377,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463113.334,0.021,115.246,SOLVED,OPTIMAL_RGAP,"2,463,561.0129","2,463,548.8801",0.0005%,5,4.10,346.26
att532MTZ,0.14,0.681,0.75,0.988,0.919,0.004,0.003,4,536,2105.034,282561,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26625,62.336,3420.268,LIMIT,TIME_LIM_SOL,"43,222.0000","26,625.0000",62.3362%,1,3.92,3598.52
bab5,0.054,0.468,0.75,0.638,0.978,0.001,0.09,4,5,10258.2,14671,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107104.719,70.951,3554.162,LIMIT,TIME_LIM_SOL,"-31,112.4861","-107,104.7193",70.9513%,1,5.84,3599.83
bank_bad,0.061,0.981,0.996,0.984,1,0,0.003,4,320,2111.3,3776,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,34.288,SOLVED,OPTIMAL,9.0000,9.0000,0.0000%,1,1.80,133.44
bank_good,0.06,0.981,0.996,0.984,1,0,0.003,4,320,2111.3,3776,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,27.775,SOLVED,OPTIMAL,31.0000,31.0000,0.0000%,1,1.80,68.66
batho_improved,0.145,0.636,0.82,0.776,1,0,0.051,4,19,10939.316,46950,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478.25,0,5.619,SOLVED,OPTIMAL,"1,478.2500","1,478.2500",0.0000%,1,2.98,21.83
batho_orig,0.14,0.533,0.813,0.656,1,0,0.084,4,12,17197.917,51824,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478.25,0,49.045,SOLVED,OPTIMAL,"1,478.2500","1,478.2500",0.0000%,1,2.19,63.75
bc,0.075,0,0.505,0.919,0,0.663,0.017,4,6,38035.333,148552,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.618,51.59,3555.192,LIMIT,TIME_LIM_SOL,7.0000,4.6177,51.5897%,1,1.70,3599.79
bc1,0.069,0,0.623,0.875,0,0.767,0.027,4,4,54953.25,107915,15461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484,37.62,3590.744,LIMIT,TIME_LIM_SOL,3.4187,2.4842,37.6197%,1,1.69,3600.00
bdry0_79,0.017,0.415,0.751,0.937,0.59,0.026,0.013,4,25,1480.76,9275,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.751,2.385,3493.877,LIMIT,TIME_LIM_SOL,22.2698,21.7511,2.3847%,1,7.20,3599.95
bdry1_79,0.017,0.415,0.751,0.937,0.59,0.026,0.013,4,25,1480.76,9275,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.628,2.14,3485.102,LIMIT,TIME_LIM_SOL,25.1554,24.6284,2.1398%,1,7.19,3600.08
beasleyc3,0.006,0.288,0.754,0.72,0.531,0.032,0.066,4,26,233.115,1616,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747.034,14.72,658.976,LIMIT,TIME_LIM_SOL,857.0000,747.8620,14.5933%,14,0.04,3600.30
bell3a,0.001,0.347,0.753,0.7,0.659,0.021,0.071,4,6,18.333,36,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873792.059,0.531,0.105,SOLVED,OPTIMAL_RGAP,"878,430.3160","878,346.8206",0.0095%,10365,0.01,98.94
bell5,0.001,0.086,0.736,0.49,0.24,0.071,0.143,4,6,20.5,44,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8957417.778,0.496,0.145,SOLVED,OPTIMAL_RGAP,"8,966,406.4915","8,965,518.9950",0.0099%,141,0.01,2.44
berlin52MTZ,0.013,0.26,0.746,0.884,0.394,0.047,0.025,4,50,219.32,3470,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7163,13.332,185.482,LIMIT,TIME_LIM_SOL,"8,118.0000","7,164.0000",13.3166%,15,0.18,3600.13
berlin_5_8_0,0.004,0.134,0.747,0.99,0.181,0.086,0.002,4,4,1139.75,1244,942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.884,21.3,3118.413,LIMIT,TIME_LIM_SOL,69.0000,56.8836,21.3004%,2,0.04,3599.96
bg512142,0.003,0.285,0.747,0.89,0.428,0.042,0.023,4,5,861,1265,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171976.486,17.802,2431.617,LIMIT,TIME_LIM_SOL,"202,592.5000","171,976.4864",17.8024%,2,0.04,3599.98
bglng,0.015,0.911,0.99,0.921,1,0,0.017,4,99,453.869,942,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95.428,0.057,3.882,LIMIT,TIME_LIM_SOL,-95.3974,-95.4269,0.0310%,31375,0.30,3599.96
biella1,0.043,0.099,0.672,0.152,0.966,0.002,0.377,4,10,1374.5,5729,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3062472.563,6.564,3588.315,LIMIT,TIME_LIM_SOL,"3,263,489.8200","3,062,472.5627",6.5639%,1,0.63,3599.88
bienst1,0.003,0.19,0.752,0.492,0.513,0.033,0.142,4,6,236.167,413,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.978,41.746,8.569,LIMIT,TIME_LIM_SOL,52.8000,40.5000,30.3704%,892,0.02,3600.11
bienst2,0.003,0.12,0.749,0.489,0.328,0.056,0.143,4,18,79.611,480,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.766,55.469,17.938,LIMIT,TIME_LIM_SOL,58.7143,40.6102,44.5802%,370,0.02,3600.03
bier127MTZ,0.052,0.489,0.739,0.957,0.691,0.018,0.009,4,4,17159.25,23189,14412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112276,30.86,3596.553,LIMIT,TIME_LIM_SOL,"146,924.0000","112,276.0000",30.8597%,1,0.70,3599.81
bills_snowflake,0.008,0.293,0.761,0.4,0.961,0.002,0.183,4,13,216.692,1153,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.546,201.951,4.487,SOLVED,OPTIMAL,34.0000,34.0000,0.0000%,99,1.65,61.47
binkar10_1,0.003,0.689,0.87,0.792,1,0,0.047,4,14,206.714,563,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6696.219,0.881,3.91,LIMIT,TIME_LIM_SOL,"6,748.1500","6,720.1939",0.4160%,59605,0.07,3599.99
blend2,0.001,0.678,0.986,0.687,1,0,0.075,4,74,4.973,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.044,9.805,0.275,SOLVED,OPTIMAL,7.5990,7.5990,0.0000%,208,0.04,3.24
bmik_250_10_100_3,0.002,0.042,0.743,0.976,0.057,0.143,0.005,4,4,526.75,666,430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70344.618,0.578,5.064,,,,,,,,
