Instance,ATime,AGood,AGoodD,AGoodBR,AGoodBC,ABorderC,ABorderR,ABlocksTry,ABlocks,AAveNZs,AMaxNZs,AMinNZs,AisDBDF,KMaxTime,KTimeRemove,KNRemove,KNRemoveInner,KTimeMerge,KNMerge,KNMergeInner,KTimeComm,KNComm,KTimeOverall,KGood,KGoodD,KGoodB,Kborder,KNBlocks,KNBlocksNonT,KAveNZs,KMaxNZs,KMinNZs,KTimeToBest,KIterOuterBest,KNMergeInnerBest,KNRemoveInnerBest,RootBound,RootGap,TimeRootNode,result_status,solution_status,objective,best_bound,relative_gap,nodes,presolve_time,solution_time
dg012142,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.731,5,237,0.172,5,234,0.609,87,0.907,0.439,0.624,0.703,0.07,4,4,2198.5,4443,45,0.559,2,138,144,429318.22,681.569,3597.956,LIMIT,TIME_LIM_SOL,"3,355,418.3920","429,318.2195",681.5691%,1,0.15,3599.11
di_ex2_dat,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.021,2,9,0,1,0,0.017,4,0.025,0.865,0.948,0.912,0.018,72,72,123.333,1167,11,0.009,0,0,0,6.188,2.294,2.03,SOLVED,OPTIMAL_RGAP,6.3298,6.3293,0.0078%,451,0.22,121.47
di_yuan__D_B_E_N_C_A_N_N,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.018,3,14,0.011,2,44,0.014,14,0.038,0.076,0.769,0.099,0.463,43,43,28.465,548,6,0.018,0,2,9,274606.25,154.801,4.875,LIMIT,TIME_LIM_SOL,"699,700.0000","399,250.0000",75.2536%,843,0.02,3599.98
digikey,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.278,3,120,0.092,3,60,1.114,59,1.376,0.859,0.963,0.893,0.023,30,30,1112.8,1638,17,1.353,1,57,119,78240.439,1.237,3595.247,LIMIT,TIME_LIM_SOL,"79,208.5705","78,240.4394",1.2374%,1,1.69,3598.48
disctom,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1.01,2,161,0.102,1,105,0.87,90,1.119,0.077,0.993,0.078,0.51,193,193,51.249,99,3,0.537,0,0,83,-5000,0,3.231,SOLVED,OPTIMAL,"-5,000.0000","-5,000.0000",0.0000%,1,0.31,4.91
disney92094,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3.644,5,295,0.332,5,111,2.933,70,3.987,0.801,0.915,0.876,0.026,14,14,5504.143,9109,2099,1.93,1,40,149,-5348968.579,14.981,607.5,LIMIT,TIME_LIM_SOL,"-4,547,645.9870","-5,347,407.0860",14.9561%,27,4.71,3595.76
disney93051,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2.53,4,215,0.304,4,91,1.974,45,2.844,0.789,0.928,0.85,0.032,18,18,4259,10700,1446,0.933,0,17,78,-11697223.85,73.279,3588.438,LIMIT,TIME_LIM_SOL,"-3,125,562.6090","-11,697,223.8500",73.2794%,1,5.55,3596.96
disney_ara_all,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2503.217,5,1790,259.137,5,109,638.853,33,2773.388,0.759,0.995,0.763,0.054,7415,7415,3251.922,1437821,2,2771.083,4,108,1790,9247073,99.952,6.405,LIMIT,TIME_LIM_NOSOL,,"9,247,073.0000",,1,51.50,2798.95
disney_ara_movie,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,313.493,5,830,144.855,5,450,138.524,43,459.094,0.679,0.979,0.693,0.073,358,358,13440.57,566400,3,458.804,4,449,830,4940.615,55.39,2658.114,LIMIT,TIME_LIM_SOL,"2,204.0000","4,940.6154",55.3902%,1,12.57,3139.66
disney_ara_music,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,186.99,5,556,117.896,5,418,89.256,32,305.545,0.78,0.975,0.8,0.045,749,749,6930.917,534857,2,305.295,4,417,556,2399.451,19.148,2970.897,LIMIT,TIME_LIM_SOL,"1,940.0000","2,399.4511",19.1482%,1,8.99,3292.38
