Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/app1_2_decomp_auto1_log.txt:FS: 0.136 0.857 0.921 0.999 0.932 0.004 0.000 13 13 11423.231 13376 5031 1 0 0.798 3 27 1.308 2 192 0.671 6 2.132 0.259 0.649 0.400 0.183 156 156 732.538 67640 42 1.327 1 109 16 -41.986 1.340781E156 2825.326
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/arki001_decomp_auto1_log.txt:FS: 0.037 0.719 0.899 0.799 1.000 0.000 0.045 4 15 855.133 3136 589 0 0 0.005 1 2 0.000 1 0 0.004 1 0.013 0.741 0.946 0.783 0.049 19 19 671.895 850 509 0.012 0 0 1 7580049.071 0.123 11.367
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/atlanta_ip_decomp_auto1_log.txt:FS: 0.877 0.510 0.618 0.998 0.826 0.010 0.000 3 3 56353.333 83009 30137 1 0 2.651 5 168 1.710 5 232 1.882 30 4.388 0.248 0.540 0.459 0.156 4 4 36778.750 92395 3990 3.484 3 176 140 82.018 35.348 3485.966
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/atm20_100_decomp_auto1_log.txt:FS: 0.157 0.857 0.950 0.902 1.000 0.000 0.021 4 20 2063.850 2341 1662 0 0 0.039 2 1 0.002 1 1 0.037 2 0.047 0.857 0.950 0.902 0.021 20 20 2063.850 2341 1662 0.004 0 0 0 2463113.334 0.021 151.911
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/atm_icic_decomp_auto1_log.txt:FS: 0.888 0.838 0.947 0.884 1.000 0.000 0.025 4 20 11998.550 15504 3708 0 0 0.350 2 34 0.047 1 7 0.183 3 0.422 0.838 0.947 0.884 0.025 20 20 11998.550 15504 3708 0.018 0 0 0 2343761365.8 0.000 216.372
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/atm_miplib2010_decomp_auto1_log.txt:FS: 0.157 0.856 0.949 0.902 1.000 0.000 0.021 3 20 2073.500 2377 1633 0 0 0.038 2 1 0.002 1 1 0.036 2 0.050 0.856 0.949 0.902 0.021 20 20 2073.500 2377 1633 0.009 0 0 0 2463113.334 0.170 130.900
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/att532MTZ_decomp_auto1_log.txt:FS: 0.827 0.720 0.857 0.988 0.851 0.008 0.003 7 540 2089.441 161549 2 1 0 2.168 5 6 1257.715 5 10 1.929 6 1361.966 0.048 0.840 0.057 0.572 121157 121157 3.333 161549 2 0.091 0 0 0 26625.000 62.336 694.093
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/B2C1S1_decomp_auto1_log.txt:FS: 0.081 0.312 0.498 0.840 0.745 0.015 0.035 2 4 3277.250 7077 6 1 0 0.684 5 168 0.218 5 183 0.557 58 0.909 0.345 0.498 0.693 0.073 2 2 5960.000 6301 5619 0.908 5 182 168 17901.432 257.956 3567.444
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bab3_decomp_auto1_log.txt:FS: 0.780 0.000 0.000 0.000 0.000 0.000 0.000 -1 0 0.000 0 0 -1 0 18.793 5 138 34.568 5 475 12.021 11 53.554 0.487 0.947 0.514 0.133 35 35 53402.571 241371 210 51.660 4 447 138 -666307.634 1.340781E156 2727.138
optmilp_20180405_decomp_auto1_v940m5b_default_stats1_hybrid_auto4_bench/bab5_decomp_auto1_log.txt:FS: 0.442 0.500 0.909 0.587 0.938 0.003 0.107 10 44 1093.136 6295 22 1 0 2.711 5 223 0.829 5 291 2.260 61 3.557 0.533 0.932 0.572 0.112 35 35 1314.429 5681 22 0.252 0 31 11 -107104.719 42.936 3547.493
