Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/atm20_100_decomp_automatic1_log.txt:FS: 0.020 0.857 0.950 0.902 1.000 0.000 0.021 4 20 2063.850 2341 1662 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2463113.334 0.021 153.045
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/atm_icic_decomp_automatic1_log.txt:FS: 0.100 0.838 0.947 0.884 1.000 0.000 0.025 4 20 11998.550 15504 3708 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2343761365.8 0.000 205.510
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/atm_miplib2010_decomp_automatic1_log.txt:FS: 0.021 0.856 0.949 0.902 1.000 0.000 0.021 4 20 2073.500 2377 1633 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2463113.334 0.021 115.246
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/att532MTZ_decomp_automatic1_log.txt:FS: 0.140 0.681 0.750 0.988 0.919 0.004 0.003 4 536 2105.034 282561 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 26625.000 62.336 3420.268
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/B2C1S1_decomp_automatic1_log.txt:FS: 0.012 0.210 0.749 0.641 0.437 0.041 0.089 4 15 731.133 3226 2 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 17901.432 257.134 3569.488
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bab5_decomp_automatic1_log.txt:FS: 0.054 0.468 0.750 0.638 0.978 0.001 0.090 4 5 10258.200 14671 240 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 -107104.719 70.951 3554.162
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bank_bad_decomp_automatic1_log.txt:FS: 0.061 0.981 0.996 0.984 1.000 0.000 0.003 4 320 2111.300 3776 482 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 9.000 0.000 34.288
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bank_good_decomp_automatic1_log.txt:FS: 0.060 0.981 0.996 0.984 1.000 0.000 0.003 4 320 2111.300 3776 482 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 31.000 0.000 27.775
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/batho_improved_decomp_automatic1_log.txt:FS: 0.145 0.636 0.820 0.776 1.000 0.000 0.051 4 19 10939.316 46950 3 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1478.250 0.000 5.619
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/batho_orig_decomp_automatic1_log.txt:FS: 0.140 0.533 0.813 0.656 1.000 0.000 0.084 4 12 17197.917 51824 3 0 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 1478.250 0.000 49.045
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bc1_decomp_automatic1_log.txt:FS: 0.069 0.000 0.623 0.875 0.000 0.767 0.027 4 4 54953.250 107915 15461 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 2.484 37.620 3590.744
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bc_decomp_automatic1_log.txt:FS: 0.075 0.000 0.505 0.919 0.000 0.663 0.017 4 6 38035.333 148552 4 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 4.618 51.590 3555.192
optmilp_20180405_decomp_automatic1_v940m5b_automatic4_stats1_hybrid_auto4_bench/bdry0_79_decomp_automatic1_log.txt:FS: 0.017 0.415 0.751 0.937 0.590 0.026 0.013 4 25 1480.760 9275 4 1 0 0.000 0 0 0.000 0 0 0.000 0 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 0.000 0 0 0 21.751 2.385 3493.877
