Instance ATime AGood AGoodD AGoodBR AGoodBC ABorderC ABorderR ABlocksTry ABlocks AAveNZs AMaxNZs AMinNZs AisDBDF KMaxTime KTimeRemove KNRemove KNRemoveInner KTimeMerge KNMerge KNMergeInner KTimeComm KNComm KTimeOverall KGood KGoodD KGoodB Kborder KNBlocks KNBlocksNonT KAveNZs KMaxNZs KMinNZs KTimeToBest KIterOuterBest KNMergeInnerBest KNRemoveInnerBest RootBound RootGap TimeRootNode
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/app1_2_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 2.126 5 63 2.438 5 359 1.829 16 4.589 0.259 0.650 0.399 0.184 156 156 731.891 67420 42 3.219 3 214 51 -53.525 1.340781E156 3493.001
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/arki001_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.028 2 11 0.000 1 0 0.023 6 0.032 0.741 0.946 0.783 0.049 19 19 671.895 850 509 0.028 0 0 9 7580049.071 0.123 11.412
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/atlanta_ip_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 3.048 5 179 1.633 5 214 2.204 32 4.755 0.229 0.664 0.345 0.213 9 9 15024.778 64452 2 1.961 1 79 76 82.018 35.348 3484.006
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/atm20_100_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.332 2 49 0.059 2 33 0.262 13 0.398 0.857 0.950 0.902 0.021 20 20 2063.850 2341 1662 0.297 0 0 44 2463113.334 0.021 143.437
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/atm_icic_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 1.085 2 73 0.109 2 17 0.713 11 1.224 0.837 0.947 0.884 0.025 20 20 11986.150 15504 3708 0.969 0 0 68 2341496327.9 0.128 468.753
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/atm_miplib2010_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 0.342 2 52 0.034 2 19 0.269 13 0.382 0.856 0.949 0.902 0.021 20 20 2073.500 2377 1633 0.307 0 0 47 2463113.334 0.170 121.995
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/att532MTZ_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 88.375 5 457 1242.856 5 10 64.147 44 1440.596 0.046 0.885 0.052 0.591 125173 125173 3.026 128277 2 346.005 1 2 447 26625.000 50.948 562.941
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/B2C1S1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 1.099 5 266 0.218 5 191 0.910 86 1.324 0.348 0.469 0.741 0.060 2 2 6093.500 7601 4586 1.322 4 190 266 17901.432 258.268 3566.896
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bab3_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 18.865 5 138 34.943 5 475 11.989 11 54.004 0.487 0.947 0.514 0.133 35 35 53402.571 241371 210 52.074 4 447 138 -666307.634 1.340781E156 2729.572
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bab5_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 3.203 5 271 0.844 5 299 2.667 71 4.064 0.499 0.926 0.539 0.124 25 25 1784.200 5356 26 0.779 0 35 56 -107104.719 53.585 3546.129
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bank_bad_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 12.815 2 62 0.181 2 5 11.040 26 13.070 0.981 0.996 0.984 0.003 320 320 2111.300 3776 482 12.478 0 0 59 9.000 0.000 29.455
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bank_good_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 12.730 2 62 0.178 2 5 10.948 26 12.978 0.981 0.996 0.984 0.003 320 320 2111.300 3776 482 12.391 0 0 59 31.000 0.000 35.012
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/batho_improved_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 12.317 5 350 1.310 5 142 9.856 89 13.653 0.459 0.806 0.570 0.113 73 73 3038.671 96412 18 10.777 3 104 280 1478.250 0.000 3556.773
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/batho_orig_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 8.683 5 239 1.611 5 154 6.830 58 10.327 0.492 0.898 0.548 0.120 74 74 4255.365 89669 167 3.348 0 30 88 1478.250 0.000 21.254
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bc1_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 9.100 2 467 0.005 1 0 7.464 239 9.121 0.055 0.988 0.056 0.576 85 85 15.247 36 15 9.109 0 0 464 2.484 34.384 107.143
optmilp_20180405_decomp_community1_v940m5b_community_stats1_hybrid_auto4_bench/bc_decomp_community1_log.txt:FS: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0 0 -1 0 10.426 3 500 0.012 3 2 8.676 253 10.453 0.118 0.994 0.119 0.426 162 162 15.130 36 15 10.439 1 1 498 4.618 51.590 128.855
